1	0	112.108	0
1.0001	653487	-653386	-42243.7
1.0002	492520	-492428	-32084.5
1.0003	381305	-381220	-25045.5
1.0004	301872	-301794	-20002.9
1.0005	243539	-243466	-16287.7
1.0006	199677	-199608	-13484.3
1.0007	166018	-165954	-11325.1
1.0008	139728	-139667	-9632.05
1.0009	118872	-118815	-8283.37
1.001	102099	-102045	-7193.98
1.0011	88444	-88392	-6303.01
1.0012	77204.1	-77154.3	-5566.15
1.0013	67860.7	-67813	-4950.58
1.0014	60023.9	-59978	-4431.59
1.0015	53397	-53352.9	-3990.38
1.0016	47751.5	-47708.9	-3612.42
1.0017	42908.9	-42867.8	-3286.36
1.0018	38729	-38689.3	-3003.26
1.0019	35100	-35061.5	-2755.98
1.002	31932.3	-31895	-2538.78
1.0021	29153.4	-29117.2	-2347.04
1.0022	26704.3	-26669.1	-2176.93
1.0023	24536.3	-24502	-2025.36
1.0024	22609.5	-22576.1	-1889.72
1.0025	20890.3	-20857.7	-1767.86
1.0026	19351	-19319.2	-1657.99
1.0027	17968	-17937	-1558.57
1.0028	16721.5	-16691.2	-1468.31
1.0029	15594.7	-15565.1	-1386.12
1.003	14573.1	-14544.1	-1311.05
1.0031	13644.5	-13616.1	-1242.3
1.0032	12798.2	-12770.4	-1179.17
1.0033	12025	-11997.8	-1121.05
1.0034	11317.1	-11290.3	-1067.43
1.0035	10667.3	-10641.1	-1017.83
1.0036	10069.8	-10044	-971.871
1.0037	9519.23	-9493.91	-929.187
1.0038	9010.89	-8986.01	-889.471
1.0039	8540.71	-8516.25	-852.447
1.004	8105.06	-8081	-817.872
1.0041	7700.72	-7677.05	-785.529
1.0042	7324.84	-7301.54	-755.225
1.0043	6974.87	-6951.94	-726.788
1.0044	6648.55	-6625.96	-700.063
1.0045	6343.84	-6321.58	-674.912
1.0046	6058.92	-6036.98	-651.21
1.0047	5792.15	-5770.53	-628.843
1.0048	5542.05	-5520.73	-607.711
1.0049	5307.31	-5286.28	-587.72
1.005	5086.7	-5065.95	-568.789
1.0051	4879.15	-4858.68	-550.84
1.0052	4683.67	-4663.46	-533.804
1.0053	4499.36	-4479.4	-517.619
1.0054	4325.4	-4305.69	-502.226
1.0055	4161.04	-4141.57	-487.573
1.0056	4005.61	-3986.37	-473.611
1.0057	3858.48	-3839.48	-460.296
1.0058	3719.09	-3700.31	-447.587
1.0059	3586.92	-3568.34	-435.446
1.006	3461.47	-3443.1	-423.839
1.0061	3342.31	-3324.15	-412.734
1.0062	3229.05	-3211.08	-402.101
1.0063	3121.29	-3103.51	-391.912
1.0064	3018.69	-3001.11	-382.143
1.0065	2920.95	-2903.54	-372.769
1.0066	2827.76	-2810.53	-363.768
1.0067	2738.84	-2721.79	-355.121
1.0068	2653.95	-2637.06	-346.808
1.0069	2572.85	-2556.13	-338.812
1.007	2495.32	-2478.76	-331.115
1.0071	2421.15	-2404.75	-323.703
1.0072	2350.17	-2333.92	-316.562
1.0073	2282.19	-2266.09	-309.676
1.0074	2217.04	-2201.09	-303.035
1.0075	2154.59	-2138.78	-296.626
1.0076	2094.67	-2079	-290.438
1.0077	2037.16	-2021.63	-284.46
1.0078	1981.93	-1966.54	-278.683
1.0079	1928.87	-1913.61	-273.098
1.008	1877.87	-1862.73	-267.695
1.0081	1828.81	-1813.8	-262.466
1.0082	1781.61	-1766.73	-257.404
1.0083	1736.18	-1721.41	-252.502
1.0084	1692.42	-1677.78	-247.752
1.0085	1650.26	-1635.73	-243.149
1.0086	1609.62	-1595.21	-238.685
1.0087	1570.44	-1556.14	-234.355
1.0088	1532.63	-1518.44	-230.153
1.0089	1496.15	-1482.07	-226.075
1.009	1460.93	-1446.95	-222.115
1.0091	1426.91	-1413.04	-218.268
1.0092	1394.04	-1380.27	-214.531
1.0093	1362.27	-1348.6	-210.898
1.0094	1331.55	-1317.98	-207.366
1.0095	1301.84	-1288.37	-203.931
1.0096	1273.1	-1259.71	-200.589
1.0097	1245.27	-1231.98	-197.337
1.0098	1218.33	-1205.13	-194.171
1.0099	1192.24	-1179.13	-191.088
1.01	1166.96	-1153.94	-188.086
1.0101	1142.46	-1129.53	-185.162
1.0102	1118.7	-1105.86	-182.311
1.0103	1095.67	-1082.91	-179.533
1.0104	1073.33	-1060.65	-176.825
1.0105	1051.65	-1039.06	-174.183
1.0106	1030.61	-1018.1	-171.606
1.0107	1010.18	-997.747	-169.092
1.0108	990.344	-977.987	-166.639
1.0109	971.074	-958.793	-164.243
1.011	952.351	-940.146	-161.905
1.0111	934.154	-922.023	-159.621
1.0112	916.464	-904.406	-157.39
1.0113	899.262	-887.277	-155.211
1.0114	882.532	-870.618	-153.081
1.0115	866.256	-854.412	-151
1.0116	850.418	-838.643	-148.964
1.0117	835.002	-823.296	-146.974
1.0118	819.995	-808.355	-145.028
1.0119	805.381	-793.808	-143.125
1.012	791.148	-779.64	-141.262
1.0121	777.282	-765.838	-139.44
1.0122	763.771	-752.391	-137.656
1.0123	750.603	-739.286	-135.91
1.0124	737.767	-726.511	-134.2
1.0125	725.252	-714.057	-132.526
1.0126	713.047	-701.913	-130.886
1.0127	701.143	-690.068	-129.28
1.0128	689.529	-678.512	-127.706
1.0129	678.197	-667.238	-126.164
1.013	667.137	-656.235	-124.653
1.0131	656.341	-645.495	-123.172
1.0132	645.8	-635.01	-121.719
1.0133	635.507	-624.772	-120.295
1.0134	625.455	-614.774	-118.899
1.0135	615.635	-605.007	-117.529
1.0136	606.041	-595.466	-116.186
1.0137	596.666	-586.143	-114.868
1.0138	587.503	-577.032	-113.574
1.0139	578.546	-568.126	-112.305
1.014	569.79	-559.42	-111.059
1.0141	561.227	-550.908	-109.836
1.0142	552.853	-542.583	-108.636
1.0143	544.663	-534.441	-107.457
1.0144	536.65	-526.476	-106.299
1.0145	528.81	-518.683	-105.162
1.0146	521.138	-511.058	-104.045
1.0147	513.629	-503.596	-102.948
1.0148	506.279	-496.291	-101.87
1.0149	499.083	-489.141	-100.811
1.015	492.037	-482.14	-99.7696
1.0151	485.137	-475.284	-98.7465
1.0152	478.379	-468.57	-97.7407
1.0153	471.76	-461.994	-96.7519
1.0154	465.274	-455.551	-95.7798
1.0155	458.92	-449.24	-94.8239
1.0156	452.693	-443.054	-93.8838
1.0157	446.59	-436.993	-92.9592
1.0158	440.608	-431.052	-92.0498
1.0159	434.743	-425.228	-91.1551
1.016	428.994	-419.519	-90.2749
1.0161	423.356	-413.921	-89.4088
1.0162	417.827	-408.431	-88.5565
1.0163	412.404	-403.047	-87.7178
1.0164	407.084	-397.766	-86.8923
1.0165	401.865	-392.585	-86.0797
1.0166	396.745	-387.503	-85.2797
1.0167	391.721	-382.516	-84.4922
1.0168	386.79	-377.622	-83.7167
1.0169	381.95	-372.819	-82.9531
1.017	377.2	-368.105	-82.2011
1.0171	372.536	-363.477	-81.4605
1.0172	367.957	-358.934	-80.7309
1.0173	363.461	-354.473	-80.0123
1.0174	359.046	-350.093	-79.3044
1.0175	354.71	-345.791	-78.6068
1.0176	350.451	-341.566	-77.9196
1.0177	346.267	-337.417	-77.2423
1.0178	342.157	-333.34	-76.5749
1.0179	338.118	-329.335	-75.9171
1.018	334.15	-325.399	-75.2687
1.0181	330.25	-321.532	-74.6296
1.0182	326.418	-317.732	-73.9995
1.0183	322.651	-313.997	-73.3784
1.0184	318.948	-310.326	-72.7659
1.0185	315.307	-306.717	-72.162
1.0186	311.728	-303.169	-71.5664
1.0187	308.209	-299.68	-70.9791
1.0188	304.748	-296.25	-70.3998
1.0189	301.344	-292.877	-69.8285
1.019	297.997	-289.56	-69.2649
1.0191	294.704	-286.297	-68.7089
1.0192	291.465	-283.087	-68.1604
1.0193	288.279	-279.93	-67.6192
1.0194	285.144	-276.824	-67.0852
1.0195	282.059	-273.768	-66.5582
1.0196	279.024	-270.761	-66.0382
1.0197	276.036	-267.802	-65.525
1.0198	273.096	-264.89	-65.0185
1.0199	270.202	-262.024	-64.5186
