#Hole with N=4
#Group_ID Point_ID X_cord Y_cord Z_cord
1 1 0.847202 7.70202e-018 0
1 2 0.847224 0.0444138 0
1 3 0.847202 0.0887414 0
1 4 0.847224 0.13289 0
1 5 0.847202 0.17678 0
1 6 0.847224 0.22031 0
1 7 0.847202 0.263407 0
1 8 0.847225 0.30596 0
1 9 0.847201 0.3479 0
1 10 0.847225 0.389108 0
1 11 0.8472 0.429518 0
1 12 0.847226 0.468997 0
1 13 0.847199 0.507483 0
1 14 0.847227 0.544826 0
1 15 0.847198 0.580966 0
1 16 0.847229 0.615726 0
1 17 0.847196 0.64905 0
1 18 0.847231 0.680718 0
1 19 0.847193 0.710675 0
1 20 0.847235 0.738631 0
1 21 0.847188 0.764522 0
1 22 0.847242 0.787919 0
1 23 0.84718 0.808728 0
1 24 0.847252 0.826156 0
1 25 0.847178 0.83992 0
1 26 0.846951 0.846951 0
1 27 0.83992 0.847178 0
1 28 0.826156 0.847252 0
1 29 0.808728 0.84718 0
1 30 0.787919 0.847242 0
1 31 0.764522 0.847188 0
1 32 0.738631 0.847235 0
1 33 0.710675 0.847193 0
1 34 0.680718 0.847231 0
1 35 0.64905 0.847196 0
1 36 0.615726 0.847229 0
1 37 0.580966 0.847198 0
1 38 0.544826 0.847227 0
1 39 0.507483 0.847199 0
1 40 0.468997 0.847226 0
1 41 0.429518 0.8472 0
1 42 0.389108 0.847225 0
1 43 0.3479 0.847201 0
1 44 0.30596 0.847225 0
1 45 0.263407 0.847202 0
1 46 0.22031 0.847224 0
1 47 0.17678 0.847202 0
1 48 0.13289 0.847224 0
1 49 0.0887414 0.847202 0
1 50 0.0444138 0.847224 0
1 51 8.24034e-017 0.847202 0
1 52 -0.0444138 0.847224 0
1 53 -0.0887414 0.847202 0
1 54 -0.13289 0.847224 0
1 55 -0.17678 0.847202 0
1 56 -0.22031 0.847224 0
1 57 -0.263407 0.847202 0
1 58 -0.30596 0.847225 0
1 59 -0.3479 0.847201 0
1 60 -0.389108 0.847225 0
1 61 -0.429518 0.8472 0
1 62 -0.468997 0.847226 0
1 63 -0.507483 0.847199 0
1 64 -0.544826 0.847227 0
1 65 -0.580966 0.847198 0
1 66 -0.615726 0.847229 0
1 67 -0.64905 0.847196 0
1 68 -0.680718 0.847231 0
1 69 -0.710675 0.847193 0
1 70 -0.738631 0.847235 0
1 71 -0.764522 0.847188 0
1 72 -0.787919 0.847242 0
1 73 -0.808728 0.84718 0
1 74 -0.826156 0.847252 0
1 75 -0.83992 0.847178 0
1 76 -0.846951 0.846951 0
1 77 -0.847178 0.83992 0
1 78 -0.847252 0.826156 0
1 79 -0.84718 0.808728 0
1 80 -0.847242 0.787919 0
1 81 -0.847188 0.764522 0
1 82 -0.847235 0.738631 0
1 83 -0.847193 0.710675 0
1 84 -0.847231 0.680718 0
1 85 -0.847196 0.64905 0
1 86 -0.847229 0.615726 0
1 87 -0.847198 0.580966 0
1 88 -0.847227 0.544826 0
1 89 -0.847199 0.507483 0
1 90 -0.847226 0.468997 0
1 91 -0.8472 0.429518 0
1 92 -0.847225 0.389108 0
1 93 -0.847201 0.3479 0
1 94 -0.847225 0.30596 0
1 95 -0.847202 0.263407 0
1 96 -0.847224 0.22031 0
1 97 -0.847202 0.17678 0
1 98 -0.847224 0.13289 0
1 99 -0.847202 0.0887414 0
1 100 -0.847224 0.0444138 0
1 101 -0.847202 1.75645e-016 0
1 102 -0.847224 -0.0444138 0
1 103 -0.847202 -0.0887414 0
1 104 -0.847224 -0.13289 0
1 105 -0.847202 -0.17678 0
1 106 -0.847224 -0.22031 0
1 107 -0.847202 -0.263407 0
1 108 -0.847225 -0.30596 0
1 109 -0.847201 -0.3479 0
1 110 -0.847225 -0.389108 0
1 111 -0.8472 -0.429518 0
1 112 -0.847226 -0.468997 0
1 113 -0.847199 -0.507483 0
1 114 -0.847227 -0.544826 0
1 115 -0.847198 -0.580966 0
1 116 -0.847229 -0.615726 0
1 117 -0.847196 -0.64905 0
1 118 -0.847231 -0.680718 0
1 119 -0.847193 -0.710675 0
1 120 -0.847235 -0.738631 0
1 121 -0.847188 -0.764522 0
1 122 -0.847242 -0.787919 0
1 123 -0.84718 -0.808728 0
1 124 -0.847252 -0.826156 0
1 125 -0.847178 -0.83992 0
1 126 -0.846951 -0.846951 0
1 127 -0.83992 -0.847178 0
1 128 -0.826156 -0.847252 0
1 129 -0.808728 -0.84718 0
1 130 -0.787919 -0.847242 0
1 131 -0.764522 -0.847188 0
1 132 -0.738631 -0.847235 0
1 133 -0.710675 -0.847193 0
1 134 -0.680718 -0.847231 0
1 135 -0.64905 -0.847196 0
1 136 -0.615726 -0.847229 0
1 137 -0.580966 -0.847198 0
1 138 -0.544826 -0.847227 0
1 139 -0.507483 -0.847199 0
1 140 -0.468997 -0.847226 0
1 141 -0.429518 -0.8472 0
1 142 -0.389108 -0.847225 0
1 143 -0.3479 -0.847201 0
1 144 -0.30596 -0.847225 0
1 145 -0.263407 -0.847202 0
1 146 -0.22031 -0.847224 0
1 147 -0.17678 -0.847202 0
1 148 -0.13289 -0.847224 0
1 149 -0.0887414 -0.847202 0
1 150 -0.0444138 -0.847224 0
1 151 -2.57437e-016 -0.847202 0
1 152 0.0444138 -0.847224 0
1 153 0.0887414 -0.847202 0
1 154 0.13289 -0.847224 0
1 155 0.17678 -0.847202 0
1 156 0.22031 -0.847224 0
1 157 0.263407 -0.847202 0
1 158 0.30596 -0.847225 0
1 159 0.3479 -0.847201 0
1 160 0.389108 -0.847225 0
1 161 0.429518 -0.8472 0
1 162 0.468997 -0.847226 0
1 163 0.507483 -0.847199 0
1 164 0.544826 -0.847227 0
1 165 0.580966 -0.847198 0
1 166 0.615726 -0.847229 0
1 167 0.64905 -0.847196 0
1 168 0.680718 -0.847231 0
1 169 0.710675 -0.847193 0
1 170 0.738631 -0.847235 0
1 171 0.764522 -0.847188 0
1 172 0.787919 -0.847242 0
1 173 0.808728 -0.84718 0
1 174 0.826156 -0.847252 0
1 175 0.83992 -0.847178 0
1 176 0.846951 -0.846951 0
1 177 0.847178 -0.83992 0
1 178 0.847252 -0.826156 0
1 179 0.84718 -0.808728 0
1 180 0.847242 -0.787919 0
